group,variable,value
2- Galaxy S9,P30 Pro 128Go,0.56
2- Galaxy S9,P40,0.09
2- Galaxy S9,P40 PRO,0.09
2- Galaxy S9,Reno 4Z,0
2- Galaxy S9,S43,0.09
2- Galaxy S9,TREKKER-X4,0
2- Galaxy S9,Xperia 5 II,0
2- Galaxy S9,Galaxy Z Fold 2,0
2- Galaxy S9,iPhone 12 mini 256Go,0
2- Galaxy S9,iPhone 12 Pro 256Go,0
2- Galaxy S9,A53s,0.09
3- iPhone 8 64Go,A72,0.1
3- iPhone 8 64Go,CORE-X4,0
3- iPhone 8 64Go,FIND X2 NEO,0
3- iPhone 8 64Go,Galaxy A42 5G,0
3- iPhone 8 64Go,Galaxy A80,0
3- iPhone 8 64Go,Galaxy Note 10 Lite,0
3- iPhone 8 64Go,Galaxy Note20,0.1
3- iPhone 8 64Go,Galaxy Note20 5G,0.29
3- iPhone 8 64Go,Galaxy Note20 Ultra 5G,0.19
3- iPhone 8 64Go,Galaxy S10 128Go,0
3- iPhone 8 64Go,Galaxy S10+ 128Go,0
3- iPhone 8 64Go,Galaxy S20,0.29
3- iPhone 8 64Go,Galaxy S20 5G,0.1
3- iPhone 8 64Go,Galaxy S20 FE,0.78
3- iPhone 8 64Go,Galaxy S20 FE 5G,0.1
3- iPhone 8 64Go,Galaxy S20 Ultra 5G,0
3- iPhone 8 64Go,Galaxy S20+,0.19
3- iPhone 8 64Go,Galaxy S20+ 5G,0
3- iPhone 8 64Go,Galaxy Z Flip,0
3- iPhone 8 64Go,iPhone 11 128Go,2.91
3- iPhone 8 64Go,iPhone 11 256Go,0
3- iPhone 8 64Go,iPhone 11 64Go,29
3- iPhone 8 64Go,iPhone 11 Pro 256Go,0.19
3- iPhone 8 64Go,iPhone 11 Pro 64Go,3.2
3- iPhone 8 64Go,iPhone 11 Pro Max 256Go,0.1
3- iPhone 8 64Go,iPhone 11 Pro Max 64Go,0.58
3- iPhone 8 64Go,iPhone 12 128Go,5.04
3- iPhone 8 64Go,iPhone 12 64Go,38.99
3- iPhone 8 64Go,iPhone 12 mini 128Go,1.84
3- iPhone 8 64Go,iPhone 12 mini 64Go,7.18
3- iPhone 8 64Go,iPhone 12 Pro 128Go,0.97
3- iPhone 8 64Go,iPhone 12 Pro Max 128Go,3.88
3- iPhone 8 64Go,iPhone 12 Pro Max 256Go,0.1
3- iPhone 8 64Go,iPhone 12 Pro Max 512Go,0.19
3- iPhone 8 64Go,iPhone 7 32Go,0
3- iPhone 8 64Go,iPhone SE 2020 128Go,0.29
3- iPhone 8 64Go,iPhone SE 2020 256Go,0
3- iPhone 8 64Go,iPhone SE 2020 64Go,1.84
3- iPhone 8 64Go,iPhone XR 128Go,0.1
3- iPhone 8 64Go,iPhone XR 64Go,0.48
3- iPhone 8 64Go,Mi 10,0.1
3- iPhone 8 64Go,MI 10 LITE,0
3- iPhone 8 64Go,Mi 10T,0.19
3- iPhone 8 64Go,Mi 10T Lite,0.1
3- iPhone 8 64Go,MI 10T PRO,0.19
3- iPhone 8 64Go,Mi Note 10,0
3- iPhone 8 64Go,nova 5t,0
3- iPhone 8 64Go,P30,0
3- iPhone 8 64Go,P30 Pro 128Go,0.1
3- iPhone 8 64Go,P40,0
3- iPhone 8 64Go,P40 PRO,0.1
3- iPhone 8 64Go,Reno 4Z,0.1
3- iPhone 8 64Go,S43,0
3- iPhone 8 64Go,TREKKER-X4,0.1
3- iPhone 8 64Go,Xperia 5 II,0
3- iPhone 8 64Go,Galaxy Z Fold 2,0
3- iPhone 8 64Go,iPhone 12 mini 256Go,0
3- iPhone 8 64Go,iPhone 12 Pro 256Go,0
3- iPhone 8 64Go,A53s,0
4- iPhone 7 32Go,A72,0.1
4- iPhone 7 32Go,CORE-X4,0
4- iPhone 7 32Go,FIND X2 NEO,0.1
4- iPhone 7 32Go,Galaxy A42 5G,0.1
4- iPhone 7 32Go,Galaxy A80,0.1
4- iPhone 7 32Go,Galaxy Note 10 Lite,0
4- iPhone 7 32Go,Galaxy Note20,0.52
4- iPhone 7 32Go,Galaxy Note20 5G,0
4- iPhone 7 32Go,Galaxy Note20 Ultra 5G,0.52
4- iPhone 7 32Go,Galaxy S10 128Go,0.1
4- iPhone 7 32Go,Galaxy S10+ 128Go,0
4- iPhone 7 32Go,Galaxy S20,0.52
4- iPhone 7 32Go,Galaxy S20 5G,0.31
4- iPhone 7 32Go,Galaxy S20 FE,0.73
4- iPhone 7 32Go,Galaxy S20 FE 5G,0.21
4- iPhone 7 32Go,Galaxy S20 Ultra 5G,0
4- iPhone 7 32Go,Galaxy S20+,0.1
4- iPhone 7 32Go,Galaxy S20+ 5G,0
4- iPhone 7 32Go,Galaxy Z Flip,0
4- iPhone 7 32Go,iPhone 11 128Go,4.37
4- iPhone 7 32Go,iPhone 11 256Go,0
4- iPhone 7 32Go,iPhone 11 64Go,34.55
4- iPhone 7 32Go,iPhone 11 Pro 256Go,0.1
4- iPhone 7 32Go,iPhone 11 Pro 64Go,1.98
4- iPhone 7 32Go,iPhone 11 Pro Max 256Go,0
4- iPhone 7 32Go,iPhone 11 Pro Max 64Go,0.42
4- iPhone 7 32Go,iPhone 12 128Go,3.12
4- iPhone 7 32Go,iPhone 12 64Go,28.93
4- iPhone 7 32Go,iPhone 12 mini 128Go,1.56
4- iPhone 7 32Go,iPhone 12 mini 64Go,8.01
4- iPhone 7 32Go,iPhone 12 Pro 128Go,0.52
4- iPhone 7 32Go,iPhone 12 Pro Max 128Go,2.81
4- iPhone 7 32Go,iPhone 12 Pro Max 256Go,0
4- iPhone 7 32Go,iPhone 12 Pro Max 512Go,0
4- iPhone 7 32Go,iPhone 7 32Go,0.1
4- iPhone 7 32Go,iPhone SE 2020 128Go,0
4- iPhone 7 32Go,iPhone SE 2020 256Go,0
4- iPhone 7 32Go,iPhone SE 2020 64Go,5.52
4- iPhone 7 32Go,iPhone XR 128Go,0.21
4- iPhone 7 32Go,iPhone XR 64Go,2.39
4- iPhone 7 32Go,Mi 10,0.62
4- iPhone 7 32Go,MI 10 LITE,0
4- iPhone 7 32Go,Mi 10T,0.21
4- iPhone 7 32Go,Mi 10T Lite,0.31
4- iPhone 7 32Go,MI 10T PRO,0.21
4- iPhone 7 32Go,Mi Note 10,0
4- iPhone 7 32Go,nova 5t,0.1
4- iPhone 7 32Go,P30,0
4- iPhone 7 32Go,P30 Pro 128Go,0.21
4- iPhone 7 32Go,P40,0
4- iPhone 7 32Go,P40 PRO,0.1
4- iPhone 7 32Go,Reno 4Z,0.1
4- iPhone 7 32Go,S43,0
4- iPhone 7 32Go,TREKKER-X4,0
4- iPhone 7 32Go,Xperia 5 II,0
4- iPhone 7 32Go,Galaxy Z Fold 2,0
4- iPhone 7 32Go,iPhone 12 mini 256Go,0
4- iPhone 7 32Go,iPhone 12 Pro 256Go,0.1
4- iPhone 7 32Go,A53s,0
5- Galaxy S8,A72,0.25
5- Galaxy S8,CORE-X4,0.13
5- Galaxy S8,FIND X2 NEO,0.76
5- Galaxy S8,Galaxy A42 5G,0.38
5- Galaxy S8,Galaxy A80,0
5- Galaxy S8,Galaxy Note 10 Lite,0.51
5- Galaxy S8,Galaxy Note20,2.92
5- Galaxy S8,Galaxy Note20 5G,1.9
5- Galaxy S8,Galaxy Note20 Ultra 5G,1.27
5- Galaxy S8,Galaxy S10 128Go,2.15
5- Galaxy S8,Galaxy S10+ 128Go,0
5- Galaxy S8,Galaxy S20,13.43
5- Galaxy S8,Galaxy S20 5G,6.59
5- Galaxy S8,Galaxy S20 FE,37.01
5- Galaxy S8,Galaxy S20 FE 5G,7.22
5- Galaxy S8,Galaxy S20 Ultra 5G,0.13
5- Galaxy S8,Galaxy S20+,3.04
5- Galaxy S8,Galaxy S20+ 5G,0.13
5- Galaxy S8,Galaxy Z Flip,0
5- Galaxy S8,iPhone 11 128Go,0.38
5- Galaxy S8,iPhone 11 256Go,0
5- Galaxy S8,iPhone 11 64Go,4.69
5- Galaxy S8,iPhone 11 Pro 256Go,0
5- Galaxy S8,iPhone 11 Pro 64Go,0.38
5- Galaxy S8,iPhone 11 Pro Max 256Go,0
5- Galaxy S8,iPhone 11 Pro Max 64Go,0
5- Galaxy S8,iPhone 12 128Go,1.01
5- Galaxy S8,iPhone 12 64Go,4.69
5- Galaxy S8,iPhone 12 mini 128Go,0.13
5- Galaxy S8,iPhone 12 mini 64Go,0.38
5- Galaxy S8,iPhone 12 Pro 128Go,0.38
5- Galaxy S8,iPhone 12 Pro Max 128Go,1.65
5- Galaxy S8,iPhone 12 Pro Max 256Go,0.13
5- Galaxy S8,iPhone 12 Pro Max 512Go,0
5- Galaxy S8,iPhone 7 32Go,0
5- Galaxy S8,iPhone SE 2020 128Go,0
5- Galaxy S8,iPhone SE 2020 256Go,0
5- Galaxy S8,iPhone SE 2020 64Go,0.51
5- Galaxy S8,iPhone XR 128Go,0
5- Galaxy S8,iPhone XR 64Go,0.13
5- Galaxy S8,Mi 10,1.39
5- Galaxy S8,MI 10 LITE,0.25
5- Galaxy S8,Mi 10T,1.52
5- Galaxy S8,Mi 10T Lite,0.63
5- Galaxy S8,MI 10T PRO,1.14
5- Galaxy S8,Mi Note 10,0.13
5- Galaxy S8,nova 5t,0
5- Galaxy S8,P30,0.25
5- Galaxy S8,P30 Pro 128Go,1.65
5- Galaxy S8,P40,0
5- Galaxy S8,P40 PRO,0.25
5- Galaxy S8,Reno 4Z,0.13
5- Galaxy S8,S43,0
5- Galaxy S8,TREKKER-X4,0.13
5- Galaxy S8,Xperia 5 II,0.13
5- Galaxy S8,Galaxy Z Fold 2,0.13
5- Galaxy S8,iPhone 12 mini 256Go,0
5- Galaxy S8,iPhone 12 Pro 256Go,0
5- Galaxy S8,A53s,0
6- iPhone X 64Go,A72,0
6- iPhone X 64Go,CORE-X4,0
6- iPhone X 64Go,FIND X2 NEO,0
6- iPhone X 64Go,Galaxy A42 5G,0
6- iPhone X 64Go,Galaxy A80,0
6- iPhone X 64Go,Galaxy Note 10 Lite,0
6- iPhone X 64Go,Galaxy Note20,0.37
6- iPhone X 64Go,Galaxy Note20 5G,0.37
6- iPhone X 64Go,Galaxy Note20 Ultra 5G,0.18
6- iPhone X 64Go,Galaxy S10 128Go,0
6- iPhone X 64Go,Galaxy S10+ 128Go,0
6- iPhone X 64Go,Galaxy S20,0.18
6- iPhone X 64Go,Galaxy S20 5G,0.18
6- iPhone X 64Go,Galaxy S20 FE,0.37
6- iPhone X 64Go,Galaxy S20 FE 5G,0.37
6- iPhone X 64Go,Galaxy S20 Ultra 5G,0
6- iPhone X 64Go,Galaxy S20+,0.18
6- iPhone X 64Go,Galaxy S20+ 5G,0
6- iPhone X 64Go,Galaxy Z Flip,0
6- iPhone X 64Go,iPhone 11 128Go,1.47
6- iPhone X 64Go,iPhone 11 256Go,0
6- iPhone X 64Go,iPhone 11 64Go,7.92
6- iPhone X 64Go,iPhone 11 Pro 256Go,0
6- iPhone X 64Go,iPhone 11 Pro 64Go,2.21
6- iPhone X 64Go,iPhone 11 Pro Max 256Go,0.37
6- iPhone X 64Go,iPhone 11 Pro Max 64Go,1.1
6- iPhone X 64Go,iPhone 12 128Go,8.84
6- iPhone X 64Go,iPhone 12 64Go,55.8
6- iPhone X 64Go,iPhone 12 mini 128Go,1.47
6- iPhone X 64Go,iPhone 12 mini 64Go,3.13
6- iPhone X 64Go,iPhone 12 Pro 128Go,0.37
6- iPhone X 64Go,iPhone 12 Pro Max 128Go,14
6- iPhone X 64Go,iPhone 12 Pro Max 256Go,0.18
6- iPhone X 64Go,iPhone 12 Pro Max 512Go,0.18
6- iPhone X 64Go,iPhone 7 32Go,0
6- iPhone X 64Go,iPhone SE 2020 128Go,0
6- iPhone X 64Go,iPhone SE 2020 256Go,0
6- iPhone X 64Go,iPhone SE 2020 64Go,0
6- iPhone X 64Go,iPhone XR 128Go,0
6- iPhone X 64Go,iPhone XR 64Go,0
6- iPhone X 64Go,Mi 10,0
6- iPhone X 64Go,MI 10 LITE,0
6- iPhone X 64Go,Mi 10T,0.37
6- iPhone X 64Go,Mi 10T Lite,0.18
6- iPhone X 64Go,MI 10T PRO,0.18
6- iPhone X 64Go,Mi Note 10,0
6- iPhone X 64Go,nova 5t,0
6- iPhone X 64Go,P30,0
6- iPhone X 64Go,P30 Pro 128Go,0
6- iPhone X 64Go,P40,0
6- iPhone X 64Go,P40 PRO,0
6- iPhone X 64Go,Reno 4Z,0
6- iPhone X 64Go,S43,0
6- iPhone X 64Go,TREKKER-X4,0
6- iPhone X 64Go,Xperia 5 II,0
6- iPhone X 64Go,Galaxy Z Fold 2,0
6- iPhone X 64Go,iPhone 12 mini 256Go,0
6- iPhone X 64Go,iPhone 12 Pro 256Go,0
6- iPhone X 64Go,A53s,0
7- iPhone 8 Plus 64Go,A72,0
7- iPhone 8 Plus 64Go,CORE-X4,0
7- iPhone 8 Plus 64Go,FIND X2 NEO,0.21
7- iPhone 8 Plus 64Go,Galaxy A42 5G,0
7- iPhone 8 Plus 64Go,Galaxy A80,0
7- iPhone 8 Plus 64Go,Galaxy Note 10 Lite,0
7- iPhone 8 Plus 64Go,Galaxy Note20,1.26
7- iPhone 8 Plus 64Go,Galaxy Note20 5G,0.63
7- iPhone 8 Plus 64Go,Galaxy Note20 Ultra 5G,0
7- iPhone 8 Plus 64Go,Galaxy S10 128Go,0
7- iPhone 8 Plus 64Go,Galaxy S10+ 128Go,0
7- iPhone 8 Plus 64Go,Galaxy S20,0
7- iPhone 8 Plus 64Go,Galaxy S20 5G,0.21
7- iPhone 8 Plus 64Go,Galaxy S20 FE,0.42
7- iPhone 8 Plus 64Go,Galaxy S20 FE 5G,0
7- iPhone 8 Plus 64Go,Galaxy S20 Ultra 5G,0
7- iPhone 8 Plus 64Go,Galaxy S20+,0.21
7- iPhone 8 Plus 64Go,Galaxy S20+ 5G,0
7- iPhone 8 Plus 64Go,Galaxy Z Flip,0
7- iPhone 8 Plus 64Go,iPhone 11 128Go,2.52
7- iPhone 8 Plus 64Go,iPhone 11 256Go,0
7- iPhone 8 Plus 64Go,iPhone 11 64Go,18.03
7- iPhone 8 Plus 64Go,iPhone 11 Pro 256Go,0.21
7- iPhone 8 Plus 64Go,iPhone 11 Pro 64Go,2.31
7- iPhone 8 Plus 64Go,iPhone 11 Pro Max 256Go,0.21
7- iPhone 8 Plus 64Go,iPhone 11 Pro Max 64Go,3.14
7- iPhone 8 Plus 64Go,iPhone 12 128Go,7.34
7- iPhone 8 Plus 64Go,iPhone 12 64Go,42.77
7- iPhone 8 Plus 64Go,iPhone 12 mini 128Go,0.84
7- iPhone 8 Plus 64Go,iPhone 12 mini 64Go,0.84
7- iPhone 8 Plus 64Go,iPhone 12 Pro 128Go,0.42
7- iPhone 8 Plus 64Go,iPhone 12 Pro Max 128Go,14.88
7- iPhone 8 Plus 64Go,iPhone 12 Pro Max 256Go,0.42
7- iPhone 8 Plus 64Go,iPhone 12 Pro Max 512Go,0
7- iPhone 8 Plus 64Go,iPhone 7 32Go,0
7- iPhone 8 Plus 64Go,iPhone SE 2020 128Go,0
7- iPhone 8 Plus 64Go,iPhone SE 2020 256Go,0
7- iPhone 8 Plus 64Go,iPhone SE 2020 64Go,0.21
7- iPhone 8 Plus 64Go,iPhone XR 128Go,0
7- iPhone 8 Plus 64Go,iPhone XR 64Go,1.05
7- iPhone 8 Plus 64Go,Mi 10,0.42
7- iPhone 8 Plus 64Go,MI 10 LITE,0
7- iPhone 8 Plus 64Go,Mi 10T,0.63
7- iPhone 8 Plus 64Go,Mi 10T Lite,0
7- iPhone 8 Plus 64Go,MI 10T PRO,0.42
7- iPhone 8 Plus 64Go,Mi Note 10,0
7- iPhone 8 Plus 64Go,nova 5t,0
7- iPhone 8 Plus 64Go,P30,0
7- iPhone 8 Plus 64Go,P30 Pro 128Go,0
7- iPhone 8 Plus 64Go,P40,0
7- iPhone 8 Plus 64Go,P40 PRO,0
7- iPhone 8 Plus 64Go,Reno 4Z,0
7- iPhone 8 Plus 64Go,S43,0
7- iPhone 8 Plus 64Go,TREKKER-X4,0
7- iPhone 8 Plus 64Go,Xperia 5 II,0
7- iPhone 8 Plus 64Go,Galaxy Z Fold 2,0.42
7- iPhone 8 Plus 64Go,iPhone 12 mini 256Go,0
7- iPhone 8 Plus 64Go,iPhone 12 Pro 256Go,0
7- iPhone 8 Plus 64Go,A53s,0
8- Galaxy S9+,A72,0
8- Galaxy S9+,CORE-X4,0
8- Galaxy S9+,FIND X2 NEO,0.46
8- Galaxy S9+,Galaxy A42 5G,0
8- Galaxy S9+,Galaxy A80,0
8- Galaxy S9+,Galaxy Note 10 Lite,0.46
8- Galaxy S9+,Galaxy Note20,8.72
8- Galaxy S9+,Galaxy Note20 5G,4.59
8- Galaxy S9+,Galaxy Note20 Ultra 5G,3.9
8- Galaxy S9+,Galaxy S10 128Go,0.69
8- Galaxy S9+,Galaxy S10+ 128Go,0.46
8- Galaxy S9+,Galaxy S20,6.42
8- Galaxy S9+,Galaxy S20 5G,3.44
8- Galaxy S9+,Galaxy S20 FE,28.21
8- Galaxy S9+,Galaxy S20 FE 5G,5.73
8- Galaxy S9+,Galaxy S20 Ultra 5G,1.38
8- Galaxy S9+,Galaxy S20+,13.07
8- Galaxy S9+,Galaxy S20+ 5G,1.38
8- Galaxy S9+,Galaxy Z Flip,0
8- Galaxy S9+,iPhone 11 128Go,0.46
8- Galaxy S9+,iPhone 11 256Go,0
8- Galaxy S9+,iPhone 11 64Go,2.75
8- Galaxy S9+,iPhone 11 Pro 256Go,0
8- Galaxy S9+,iPhone 11 Pro 64Go,0.92
8- Galaxy S9+,iPhone 11 Pro Max 256Go,0
8- Galaxy S9+,iPhone 11 Pro Max 64Go,0.46
8- Galaxy S9+,iPhone 12 128Go,1.38
8- Galaxy S9+,iPhone 12 64Go,4.59
8- Galaxy S9+,iPhone 12 mini 128Go,0.23
8- Galaxy S9+,iPhone 12 mini 64Go,0
8- Galaxy S9+,iPhone 12 Pro 128Go,0.23
8- Galaxy S9+,iPhone 12 Pro Max 128Go,2.29
8- Galaxy S9+,iPhone 12 Pro Max 256Go,0.23
8- Galaxy S9+,iPhone 12 Pro Max 512Go,0
8- Galaxy S9+,iPhone 7 32Go,0
8- Galaxy S9+,iPhone SE 2020 128Go,0
8- Galaxy S9+,iPhone SE 2020 256Go,0
8- Galaxy S9+,iPhone SE 2020 64Go,0
8- Galaxy S9+,iPhone XR 128Go,0
8- Galaxy S9+,iPhone XR 64Go,0.23
8- Galaxy S9+,Mi 10,2.75
8- Galaxy S9+,MI 10 LITE,0
8- Galaxy S9+,Mi 10T,1.38
8- Galaxy S9+,Mi 10T Lite,0
8- Galaxy S9+,MI 10T PRO,1.38
8- Galaxy S9+,Mi Note 10,0
8- Galaxy S9+,nova 5t,0
8- Galaxy S9+,P30,0
8- Galaxy S9+,P30 Pro 128Go,1.15
8- Galaxy S9+,P40,0
8- Galaxy S9+,P40 PRO,0.46
8- Galaxy S9+,Reno 4Z,0
8- Galaxy S9+,S43,0
8- Galaxy S9+,TREKKER-X4,0
8- Galaxy S9+,Xperia 5 II,0
8- Galaxy S9+,Galaxy Z Fold 2,0
8- Galaxy S9+,iPhone 12 mini 256Go,0
8- Galaxy S9+,iPhone 12 Pro 256Go,0.23
9- iPhone 11 64Go,A53s,0
9- iPhone 11 64Go,A72,0
9- iPhone 11 64Go,CORE-X4,0
9- iPhone 11 64Go,FIND X2 NEO,0
9- iPhone 11 64Go,Galaxy A42 5G,0
9- iPhone 11 64Go,Galaxy A80,0
9- iPhone 11 64Go,Galaxy Note 10 Lite,0
9- iPhone 11 64Go,Galaxy Note20,0.74
9- iPhone 11 64Go,Galaxy Note20 5G,0.49
9- iPhone 11 64Go,Galaxy Note20 Ultra 5G,0.49
9- iPhone 11 64Go,Galaxy S10 128Go,0
9- iPhone 11 64Go,Galaxy S10+ 128Go,0
9- iPhone 11 64Go,Galaxy S20,0
9- iPhone 11 64Go,Galaxy S20 5G,0.25
9- iPhone 11 64Go,Galaxy S20 FE,0.49
9- iPhone 11 64Go,Galaxy S20 FE 5G,0.25
9- iPhone 11 64Go,Galaxy S20 Ultra 5G,0
9- iPhone 11 64Go,Galaxy S20+,0.25
9- iPhone 11 64Go,Galaxy S20+ 5G,0.25
9- iPhone 11 64Go,Galaxy Z Flip,0
9- iPhone 11 64Go,iPhone 11 128Go,0.25
9- iPhone 11 64Go,iPhone 11 256Go,0
9- iPhone 11 64Go,iPhone 11 64Go,1.23
9- iPhone 11 64Go,iPhone 11 Pro 256Go,0
9- iPhone 11 64Go,iPhone 11 Pro 64Go,1.72
9- iPhone 11 64Go,iPhone 11 Pro Max 256Go,0.49
9- iPhone 11 64Go,iPhone 11 Pro Max 64Go,1.97
9- iPhone 11 64Go,iPhone 12 128Go,6.88
9- iPhone 11 64Go,iPhone 12 64Go,65.85
9- iPhone 11 64Go,iPhone 12 mini 128Go,0.98
9- iPhone 11 64Go,iPhone 12 mini 64Go,4.18
9- iPhone 11 64Go,iPhone 12 Pro 128Go,0.25
9- iPhone 11 64Go,iPhone 12 Pro Max 128Go,12.04
9- iPhone 11 64Go,iPhone 12 Pro Max 256Go,0
9- iPhone 11 64Go,iPhone 12 Pro Max 512Go,0.25
9- iPhone 11 64Go,iPhone 7 32Go,0
9- iPhone 11 64Go,iPhone SE 2020 128Go,0
9- iPhone 11 64Go,iPhone SE 2020 256Go,0
9- iPhone 11 64Go,iPhone SE 2020 64Go,0
9- iPhone 11 64Go,iPhone XR 128Go,0
9- iPhone 11 64Go,iPhone XR 64Go,0
9- iPhone 11 64Go,Mi 10,0
9- iPhone 11 64Go,MI 10 LITE,0
9- iPhone 11 64Go,Mi 10T,0
9- iPhone 11 64Go,Mi 10T Lite,0
9- iPhone 11 64Go,MI 10T PRO,0.25
9- iPhone 11 64Go,Mi Note 10,0
9- iPhone 11 64Go,nova 5t,0
9- iPhone 11 64Go,P30,0
9- iPhone 11 64Go,P30 Pro 128Go,0.25
9- iPhone 11 64Go,P40,0
9- iPhone 11 64Go,P40 PRO,0
9- iPhone 11 64Go,Reno 4Z,0
9- iPhone 11 64Go,S43,0
9- iPhone 11 64Go,TREKKER-X4,0
